order	driver	client	start	end	client_bill	driver_bill	fraud	city_number	animal	baby_seat	luggage	percent
1081425867	17376419	20111050	2020-07-24 01:58:08	2020-07-24 02:00:01	69	150	1	3	0	0	0	26.6
1089637383	12759342	11662494	2020-07-26 15:39:27	2020-07-27 07:16:26	119	150	1	3	0	0	0	25.6
1126376895	13804654	45996210	2020-08-06 21:19:23	2020-08-06 21:20:22	93	93	1	3	0	0	0	25.6
1096462527	10877818	21828050	2020-07-28 18:47:57	2020-07-28 19:20:20	308	308	1	3	0	0	0	24.1
1065355239	17335403	83510311	2020-07-18 19:46:09	2020-07-18 19:50:35	64	200	1	3	0	0	0	6
1044114543	14167874	54923978	2020-07-11 19:22:50	2020-07-11 19:40:03	176	200	1	3	0	0	0	21.6
1067378883	16309247	74312091	2020-07-19 11:53:38	2020-07-19 11:59:37	88	88	1	3	0	0	0	26.6
1045064931	14411114	81606867	2020-07-12 01:21:47	2020-07-12 01:50:39	99	99	1	3	0	0	0	5
1076093115	17036959	80030515	2020-07-22 08:22:34	2020-07-22 08:58:30	206	250	1	3	0	0	0	25.5
1081074615	15456307	83349287	2020-07-23 21:51:58	2020-07-23 21:52:50	69	200	1	3	0	0	0	25.6
1079623983	17357683	26162106	2020-07-23 12:55:59	2020-07-23 12:58:34	69	200	1	3	0	0	0	5
1059425955	17357683	74195959	2020-07-17 02:11:17	2020-07-17 02:13:49	69	150	1	3	0	0	0	5
1109216775	17718351	3929178	2020-08-01 14:53:12	2020-08-01 14:54:25	69	150	1	3	0	0	0	25.6
1114203795	16958939	87238251	2020-08-02 23:48:57	2020-08-02 23:50:31	87	150	1	3	0	0	0	26.6
1066696947	17326019	49635322	2020-07-19 05:55:00	2020-07-19 06:23:50	96	174	1	3	0	0	0	21.6
1129106859	17685467	29373890	2020-08-07 16:45:54	2020-08-07 16:46:50	177	200	1	3	0	0	0	24.6
1102499139	17461875	86607955	2020-07-30 17:39:13	2020-07-30 17:43:57	55	200	1	3	0	0	0	3
1044897639	16713683	59905674	2020-07-11 23:53:04	2020-07-11 23:57:27	200	200	1	3	0	0	0	19.3
1110130539	17721579	23143830	2020-08-01 19:57:30	2020-08-01 19:57:52	200	200	1	3	0	0	0	26.6
1072597023	15791795	72154879	2020-07-20 23:58:38	2020-07-21 00:00:29	82	200	1	3	0	0	0	26.6
1102528047	17461875	86607955	2020-07-30 17:48:49	2020-07-30 17:52:27	69	200	1	3	0	0	0	3
1137711399	15278154	32090274	2020-08-09 22:02:02	2020-08-09 22:02:27	233	233	1	3	0	0	0	3
1084715067	14319358	85197871	2020-07-25 01:35:42	2020-07-25 01:37:30	99	200	1	3	0	0	0	26.6
1058614659	16309247	60770046	2020-07-16 18:39:13	2020-07-16 18:50:05	112	200	1	3	0	0	0	26.6
1113426651	15578179	28459470	2020-08-02 19:24:24	2020-08-02 20:02:28	59	150	1	3	0	0	0	4
1080844587	11735746	41607618	2020-07-23 20:22:56	2020-07-23 20:34:33	198	198	1	3	0	0	0	25.6
1108186035	10120878	41253242	2020-08-01 08:33:35	2020-08-01 08:40:01	69	150	1	3	0	0	0	23.6
1055805039	17235367	21145498	2020-07-15 19:09:32	2020-07-15 19:18:53	77	200	1	3	0	0	0	25.6
1103355783	17357683	26162106	2020-07-30 22:27:00	2020-07-30 22:29:05	97	200	1	3	0	0	0	26.6
1044377763	11947278	19853174	2020-07-11 20:54:38	2020-07-11 21:11:17	117	150	1	3	0	0	0	23.2
1081089747	17031023	8863742	2020-07-23 21:58:34	2020-07-23 22:06:02	74	200	1	3	0	0	0	20.8
1044069435	10964226	17697890	2020-07-11 19:06:25	2020-07-11 19:15:06	99	150	1	3	0	0	0	26.6
1076673783	17376419	20111050	2020-07-22 12:18:06	2020-07-22 12:22:52	69	200	1	3	0	0	0	26.6
1082841303	17329879	85032975	2020-07-24 14:10:14	2020-07-24 14:36:27	191	191	1	3	0	0	0	2
1081313055	17362251	14717818	2020-07-23 23:59:26	2020-07-24 00:00:10	202	202	1	3	0	0	0	5
1087821939	14937586	31593378	2020-07-25 23:15:55	2020-07-25 23:20:01	233	233	1	3	0	0	0	16.8
1090890295	17326335	69219983	2020-07-26 23:05:23	2020-07-26 23:07:49	69	150	1	3	0	0	0	21.7
1062052399	17335403	72336043	2020-07-17 20:18:14	2020-07-17 20:24:39	102	200	1	3	0	0	0	6
1045277899	14411114	26894974	2020-07-12 05:00:10	2020-07-12 05:26:22	462	462	1	3	0	0	0	5
1041895375	16573311	68732719	2020-07-11 00:04:30	2020-07-11 00:42:36	102	102	1	3	0	0	0	26.6
1098209647	17204167	28186114	2020-07-29 11:12:31	2020-07-29 11:30:39	151	151	1	3	0	0	0	24.6
1104653503	17461875	86607955	2020-07-31 10:25:59	2020-07-31 10:29:44	69	200	1	3	0	0	0	3
1116070999	17590435	87788283	2020-08-03 15:29:46	2020-08-03 15:35:41	72	200	1	3	0	0	0	3
1134736039	17589375	17764774	2020-08-09 02:15:12	2020-08-09 02:22:03	365	365	1	3	0	0	0	16.8
1076038591	17430379	84420139	2020-07-22 07:57:20	2020-07-22 08:01:07	98	250	1	3	0	0	0	26.6
1097150095	13098146	45347146	2020-07-28 23:59:11	2020-07-29 00:00:09	69	200	1	3	0	0	0	20.8
1104237823	17181359	15471946	2020-07-31 08:09:44	2020-07-31 08:11:51	182	250	1	3	0	0	0	24.6
1071043531	16722383	81897143	2020-07-20 14:03:52	2020-07-21 05:49:12	702	702	1	3	0	0	0	24.6
1075957051	17368299	77696231	2020-07-22 07:24:22	2020-07-22 07:26:12	98	250	1	3	0	0	0	25.6
1100093647	17434811	24271310	2020-07-29 22:07:15	2020-07-29 22:35:56	138	197	1	3	0	0	0	5
1121133247	17232003	78244439	2020-08-05 09:43:37	2020-08-05 10:03:23	1159	1159	1	3	0	0	0	26.6
1126553647	15123534	38075238	2020-08-06 22:28:04	2020-08-06 22:39:46	227	227	1	3	0	0	0	25.6
1076666335	17376419	20111050	2020-07-22 12:14:43	2020-07-22 12:16:32	69	150	1	3	0	0	0	26.6
1057881895	16537287	8783418	2020-07-16 14:11:13	2020-07-16 14:17:10	225	225	1	3	0	0	0	24.8
1130964991	17705471	52220142	2020-08-08 03:30:13	2020-08-08 03:40:00	69	150	1	3	0	0	0	4
1131019963	17705471	9596678	2020-08-08 04:16:49	2020-08-08 04:36:25	203	203	1	3	0	0	0	4
1065477463	13168530	35470458	2020-07-18 20:21:18	2020-07-18 20:23:11	99	200	1	3	0	0	0	18.8
1070190307	17365147	13513038	2020-07-20 08:36:54	2020-07-20 08:43:24	111	550	1	3	0	0	0	5
1080044695	11011510	28373946	2020-07-23 15:38:31	2020-07-23 15:40:58	69	200	1	3	0	0	0	4
1099901191	17373603	41635318	2020-07-29 20:52:20	2020-07-29 21:13:48	69	200	1	3	0	0	0	19.8
1110517051	14165314	12098850	2020-08-01 21:47:30	2020-08-01 21:53:32	135	150	1	3	0	0	0	26.6
1080925651	17069963	18393210	2020-07-23 20:55:53	2020-07-23 21:10:36	103	200	1	3	0	0	0	27.6
1112591587	12469018	66834275	2020-08-02 14:51:53	2020-08-02 14:59:33	76	150	1	3	0	0	0	26.6
1065231559	17335403	72336043	2020-07-18 19:09:33	2020-07-18 19:14:56	99	200	1	3	0	0	0	6
1110018139	17721579	14244306	2020-08-01 19:23:06	2020-08-01 19:23:27	390	390	1	3	0	0	0	26.6
1046308519	10785466	8226302	2020-07-12 14:57:38	2020-07-12 15:02:51	69	150	1	3	0	0	0	26.6
1076130067	17430379	84420139	2020-07-22 08:35:48	2020-07-22 08:39:30	98	250	1	3	0	0	0	26.6
1081235947	17376419	20111050	2020-07-23 23:09:04	2020-07-23 23:11:54	69	200	1	3	0	0	0	26.6
1103438311	17222411	84806959	2020-07-30 23:08:29	2020-07-30 23:10:11	69	200	1	3	0	0	0	24.6
1062877939	10713750	11147934	2020-07-18 02:32:37	2020-07-18 02:45:15	242	242	1	3	0	0	0	24.6
1047660655	13649498	10664050	2020-07-12 23:22:50	2020-07-12 23:52:39	480	480	1	3	0	0	0	28.6
1114774807	17705471	23035662	2020-08-03 07:11:00	2020-08-03 07:13:37	182	250	1	3	0	0	0	4
